[ Tue Apr 19 17:26:41 2016 ]=>  Querida Admin [119536963] joined the SuperGroup via link
 
[ Wed Apr 20 01:20:52 2016 ]=>  FathiMohammadAlQadasi [93008859] is banned and kicked ! 
 
[ Fri Apr 22 16:17:00 2016 ]=>  AnaskinButtfucker @kylefrederick [177888232] kicked for #spam
 
[ Fri Apr 22 16:22:35 2016 ]=>  Jules ☺️ Admin [173272577] joined the SuperGroup via link
 
[ Fri Apr 22 16:40:45 2016 ]=>  Jules ☺️ Admin [173272577] joined the SuperGroup via link
 
[ Fri Apr 22 16:50:04 2016 ]=>  Jules ☺️ [173272577] requested group link [https://telegram.me/joinchat/CLreZz3lbcGEHMDVe0MyMg]
 
[ Fri Apr 22 16:51:12 2016 ]=>  Jules ☺️ [173272577] requested group link [https://telegram.me/joinchat/CLreZz3lbcGEHMDVe0MyMg]
 
[ Fri Apr 22 16:55:55 2016 ]=>  👮Guil 🇧🇷➡🇺🇸 [154937658] requested SuperGroup settings 
 
[ Fri Apr 22 16:56:10 2016 ]=>  👮Guil 🇧🇷➡🇺🇸 [154937658] set flood to [10]
 
[ Sun Apr 24 15:22:13 2016 ]=>  JhanJherrey [139626383] banned user is talking !
 
[ Mon Apr 25 21:19:19 2016 ]=>  Guil 🇧🇷➡🇺🇸 [154937658] requested group link [https://telegram.me/joinchat/CLreZz3lbcGEHMDVe0MyMg]
 
[ Mon Apr 25 22:05:53 2016 ]=>  Guil 🇧🇷➡🇺🇸 [154937658] requested SuperGroup Admins list
 
